Country,1981-1984,1990-1994,1995-1999,2000-2004,2005-2009,2010-2014
Albania,,,41,"38,9",,
Algeria,,,,"47,9",,53
Argentina,"63,6","75,5",66,69,"70,6","61,7"
Armenia,,,"43,8",,,"48,1"
Australia,"20,4",,"39,2",,"68,5","48,9"
Azerbaijan,,,"45,6",,,"41,4"
Bangladesh,,,28,"10,1",,
Belarus,,"61,6","27,2",,,"43,9"
Bosnia and Herzegovina,,,,"63,3",,
Brazil,,"42,1",,,"41,9",39
Bulgaria,,,"50,5",,"57,3",
Burkina Faso,,,,,"35,6",
Canada,,,,"42,8","59,9",
Chile,,"47,3","40,6","48,7",61,"65,4"
China,,56,"29,6",34,33,"26,6"
Colombia,,,"40,5",,"51,3","37,9"
Croatia,,,"64,3",,,
Cyprus,,,,,"60,2","44,8"
Czech Republic,,"74,6","55,5",,,
Dominican Rep.,,,"49,9",,,
Ecuador,,,,,,47
Egypt,,,,"52,5","48,1","53,6"
El Salvador,,,"58,4",,,
Estonia,,,"34,2",,,"35,8"
Ethiopia,,,,,"57,2",
Finland,"54,5",,"47,8",,"53,7",
France,,,,,"59,4",
Georgia,,,"41,8",,48,52
Germany,,,"70,8",,"68,7","70,1"
Ghana,,,,,"38,7","24,3"
Guatemala,,,,,"47,9",
Haiti,,,,,,"68,7"
Hungary,,,56,,"64,9",
India,,37,25,"38,1","31,8",40
Indonesia,,,,"50,5","49,4",
Iran,,,,"46,8","75,7",
Iraq,,,,,,"56,9"
Italy,,,,,"54,8",
Japan,"71,9","70,6","56,6","63,5","51,7","36,6"
Jordan,,,,38,"32,6","56,5"
Kazakhstan,,,,,,"42,9"
Kuwait,,,,,,"43,8"
Kyrgyzstan,,,,"58,2",,"43,1"
Latvia,,,"45,6",,,
Lebanon,,,,,,53
Libya,,,,,,"49,3"
Lithuania,,,"55,3",,,
Macedonia,,,"64,1","71,3",,
Malaysia,,,,,"45,7","25,7"
Mali,,,,,"31,2",
Mexico,"69,2","53,5","47,9","48,5","52,5","45,4"
Moldova,,,"43,5","44,3","74,8",
Montenegro,,,"48,3","62,1",,
Morocco,,,,"44,5","48,3","39,8"
Netherlands,,,,,"62,9","53,6"
New Zealand,,,"47,6",,50,"46,2"
Nigeria,,"23,4","32,9","28,9",,"32,4"
Norway,,,"38,6",,"44,9",
Pakistan,,,,"40,8",,
Palestine,,,,,,"63,4"
Peru,,,"61,7","70,8","76,4","58,8"
Philippines,,,"35,2","41,3",,"35,1"
Poland,,27,"37,7",,"59,8","44,1"
Puerto Rico,,,"37,1","53,2",,
Qatar,,,,,,"29,4"
Romania,,,"49,9",,"48,2","50,6"
Russia,,"49,8","64,4",,"55,2","52,8"
Rwanda,,,,,"51,6","48,4"
Saudi Arabia,,,,37,,
Serbia,,,"59,6","58,6",,
Slovakia,,"69,5","62,9",,,
Slovenia,,,"56,3",,"65,5","64,6"
South Africa,48,"21,4","22,5","24,7","31,1","45,5"
South Korea,"44,5",64,65,"66,3","49,8","43,8"
Spain,,"57,5","48,7","52,6","62,3","63,1"
Sweden,"52,8",,"32,9",,"47,8","44,5"
Switzerland,,,"55,4",,"58,8",
Taiwan,,,"42,6",,68,"25,7"
Tanzania,,,,32,,
Thailand,,,,,75,"35,3"
Trinidad and Tobago,,,,,"64,5","53,5"
Tunisia,,,,,,"56,8"
Turkey,,"64,6","35,2",,"47,9","47,3"
Uganda,,,,"27,4",,
Ukraine,,,"31,5",,"38,8","58,6"
United Kingdom,,,,,"57,6",
United States,"49,1",,"42,7","44,8","70,3","64,8"
Uruguay,,,"55,2",,"61,3","45,4"
Uzbekistan,,,,,,"19,8"
Venezuela,,,"43,1","34,8",,
Vietnam,,,,"48,3","29,4",
Yemen,,,,,,"38,2"
Zambia,,,,,"53,6",
Zimbabwe,,,,"20,4",,"27,9"